id_no,xsize,ysize,num_bands
lambda_cv_2018-2022_grid1_3,28800,7200,1
lambda_cv_2018-2022_grid2_4,28800,7200,1
lambda_cv_2018-2022_grid2_1,28800,7200,1
lambda_cv_2018-2022_grid1_2,28800,7200,1
lambda_cv_2018-2022_grid2_3,28800,7200,1
lambda_cv_2018-2022_grid0_1,28800,7200,1
lambda_cv_2018-2022_grid1_1,28800,7200,1
lambda_cv_2018-2022_grid0_3,28800,7200,1
lambda_cv_2018-2022_grid0_0,28800,7200,1
lambda_cv_2018-2022_grid2_0,28800,7200,1
lambda_cv_2018-2022_grid0_2,28800,7200,1
lambda_cv_2018-2022_grid0_4,28800,7200,1
lambda_cv_2018-2022_grid1_0,28800,7200,1
lambda_cv_2018-2022_grid1_4,28800,7200,1
lambda_cv_2018-2022_grid2_2,28800,7200,1
